run_id,hidden_layers,nodes,dropout,lr,val_accuracy,fit_time_sec
1,1,64,0.0,1.0,0.19599999487400055,5.017144441604614
2,1,64,0.0,1.0,0.2056666612625122,5.062775135040283
3,1,64,0.0,1.0,0.10916666686534882,5.1340954303741455
4,1,64,0.0,1.0,0.10316666960716248,5.302421808242798
5,1,64,0.0,1.0,0.10899999737739563,5.416614532470703
1,1,64,0.0,0.1,0.7149999737739563,5.114318132400513
2,1,64,0.0,0.1,0.7488333582878113,5.027836084365845
3,1,64,0.0,0.1,0.8240000009536743,5.0356364250183105
4,1,64,0.0,0.1,0.7674999833106995,5.021485328674316
5,1,64,0.0,0.1,0.7536666393280029,4.853659629821777
1,1,64,0.0,0.01,0.8828333616256714,5.126952171325684
2,1,64,0.0,0.01,0.8828333616256714,5.17292594909668
3,1,64,0.0,0.01,0.8768333196640015,5.25016975402832
4,1,64,0.0,0.01,0.8806666731834412,5.14686131477356
5,1,64,0.0,0.01,0.8771666884422302,5.129362344741821
1,1,64,0.0,0.001,0.8723333477973938,4.937739610671997
2,1,64,0.0,0.001,0.8709999918937683,5.173013210296631
3,1,64,0.0,0.001,0.8690000176429749,5.003011226654053
4,1,64,0.0,0.001,0.8723333477973938,5.054295778274536
5,1,64,0.0,0.001,0.871666669845581,4.960165500640869
1,1,64,0.0,0.0005,0.8653333187103271,4.988620042800903
2,1,64,0.0,0.0005,0.8650000095367432,5.019449710845947
3,1,64,0.0,0.0005,0.862333357334137,5.022528648376465
4,1,64,0.0,0.0005,0.8615000247955322,5.213753938674927
5,1,64,0.0,0.0005,0.8636666536331177,5.023380517959595
1,1,64,0.2,1.0,0.10916666686534882,5.49890923500061
2,1,64,0.2,1.0,0.10916666686534882,5.339011907577515
3,1,64,0.2,1.0,0.12433333694934845,5.562841176986694
4,1,64,0.2,1.0,0.12466666847467422,5.417989253997803
5,1,64,0.2,1.0,0.10916666686534882,5.682191371917725
1,1,64,0.2,0.1,0.6848333477973938,5.408919334411621
2,1,64,0.2,0.1,0.7518333196640015,5.43281888961792
3,1,64,0.2,0.1,0.7459999918937683,5.339686393737793
4,1,64,0.2,0.1,0.7835000157356262,5.587207555770874
5,1,64,0.2,0.1,0.7403333187103271,5.295165061950684
1,1,64,0.2,0.01,0.8633333444595337,5.426987171173096
2,1,64,0.2,0.01,0.8756666779518127,5.471679449081421
3,1,64,0.2,0.01,0.8755000233650208,5.46068263053894
4,1,64,0.2,0.01,0.8681666851043701,5.565895318984985
5,1,64,0.2,0.01,0.878000020980835,5.7094056606292725
1,1,64,0.2,0.001,0.8713333606719971,7.935304880142212
2,1,64,0.2,0.001,0.8713333606719971,5.492661237716675
3,1,64,0.2,0.001,0.8740000128746033,5.449753522872925
4,1,64,0.2,0.001,0.874666690826416,5.523770332336426
5,1,64,0.2,0.001,0.874833345413208,5.363934278488159
1,1,64,0.2,0.0005,0.862666666507721,5.2850775718688965
2,1,64,0.2,0.0005,0.8631666898727417,5.2503015995025635
3,1,64,0.2,0.0005,0.8644999861717224,5.689578533172607
4,1,64,0.2,0.0005,0.8629999756813049,5.44042444229126
5,1,64,0.2,0.0005,0.8586666584014893,5.557677745819092
1,1,64,0.4,1.0,0.12099999934434891,5.596451997756958
2,1,64,0.4,1.0,0.10316666960716248,5.487680912017822
3,1,64,0.4,1.0,0.10916666686534882,5.437207460403442
4,1,64,0.4,1.0,0.10916666686534882,5.313091993331909
5,1,64,0.4,1.0,0.10316666960716248,5.562891960144043
1,1,64,0.4,0.1,0.6340000033378601,5.260921001434326
2,1,64,0.4,0.1,0.624833345413208,5.436973571777344
3,1,64,0.4,0.1,0.6389999985694885,5.536305665969849
4,1,64,0.4,0.1,0.5423333048820496,5.500518321990967
5,1,64,0.4,0.1,0.7113333344459534,5.437040328979492
1,1,64,0.4,0.01,0.8676666617393494,5.478947401046753
2,1,64,0.4,0.01,0.8658333420753479,5.469435691833496
3,1,64,0.4,0.01,0.8643333315849304,5.294389247894287
4,1,64,0.4,0.01,0.8648333549499512,5.459937810897827
5,1,64,0.4,0.01,0.862666666507721,5.395863056182861
1,1,64,0.4,0.001,0.8669999837875366,5.416775465011597
2,1,64,0.4,0.001,0.8686666488647461,5.346773147583008
3,1,64,0.4,0.001,0.8679999709129333,5.417271614074707
4,1,64,0.4,0.001,0.8658333420753479,5.3584747314453125
5,1,64,0.4,0.001,0.8646666407585144,5.314610004425049
1,1,64,0.4,0.0005,0.8568333387374878,5.481024503707886
2,1,64,0.4,0.0005,0.8556666374206543,5.360335826873779
3,1,64,0.4,0.0005,0.8575000166893005,5.285046815872192
4,1,64,0.4,0.0005,0.8543333411216736,5.300471544265747
5,1,64,0.4,0.0005,0.856333315372467,5.326568126678467
1,1,64,0.5,1.0,0.10916666686534882,5.94882869720459
2,1,64,0.5,1.0,0.10916666686534882,5.26346492767334
3,1,64,0.5,1.0,0.109333336353302,5.289999008178711
4,1,64,0.5,1.0,0.10949999839067459,5.378497362136841
5,1,64,0.5,1.0,0.19116666913032532,5.262835741043091
1,1,64,0.5,0.1,0.46799999475479126,5.366695404052734
2,1,64,0.5,0.1,0.6014999747276306,5.399148464202881
3,1,64,0.5,0.1,0.5386666655540466,5.282572031021118
4,1,64,0.5,0.1,0.5168333053588867,5.718779563903809
5,1,64,0.5,0.1,0.7329999804496765,5.476322174072266
1,1,64,0.5,0.01,0.859666645526886,5.464635372161865
2,1,64,0.5,0.01,0.8538333177566528,5.320291519165039
3,1,64,0.5,0.01,0.8544999957084656,5.725250005722046
4,1,64,0.5,0.01,0.8640000224113464,5.1991307735443115
5,1,64,0.5,0.01,0.8544999957084656,5.50581955909729
1,1,64,0.5,0.001,0.8651666641235352,5.370879173278809
2,1,64,0.5,0.001,0.8621666431427002,5.544949769973755
3,1,64,0.5,0.001,0.856166660785675,5.258913278579712
4,1,64,0.5,0.001,0.8658333420753479,5.530471563339233
5,1,64,0.5,0.001,0.8641666769981384,5.519672393798828
1,1,64,0.5,0.0005,0.8558333516120911,5.5124664306640625
2,1,64,0.5,0.0005,0.8503333330154419,5.47766900062561
3,1,64,0.5,0.0005,0.8568333387374878,5.426719427108765
4,1,64,0.5,0.0005,0.8508333563804626,5.456352949142456
5,1,64,0.5,0.0005,0.8546666502952576,5.5188307762146
1,1,128,0.0,1.0,0.1274999976158142,4.8931427001953125
2,1,128,0.0,1.0,0.11416666954755783,5.189795255661011
3,1,128,0.0,1.0,0.10916666686534882,4.97881293296814
4,1,128,0.0,1.0,0.12383333593606949,5.148730754852295
5,1,128,0.0,1.0,0.12383333593606949,7.492053270339966
1,1,128,0.0,0.1,0.7403333187103271,4.877504825592041
2,1,128,0.0,0.1,0.7403333187103271,4.959965944290161
3,1,128,0.0,0.1,0.8125,4.862926244735718
4,1,128,0.0,0.1,0.8324999809265137,4.866152286529541
5,1,128,0.0,0.1,0.8326666951179504,4.825265169143677
1,1,128,0.0,0.01,0.8831666707992554,4.776566743850708
2,1,128,0.0,0.01,0.8798333406448364,4.994343042373657
3,1,128,0.0,0.01,0.8878333568572998,4.762282371520996
4,1,128,0.0,0.01,0.8848333358764648,4.896618366241455
5,1,128,0.0,0.01,0.8813333511352539,4.777528762817383
1,1,128,0.0,0.001,0.8784999847412109,4.802283525466919
2,1,128,0.0,0.001,0.8793333172798157,4.8070197105407715
3,1,128,0.0,0.001,0.8799999952316284,4.771228075027466
4,1,128,0.0,0.001,0.8793333172798157,4.849752426147461
5,1,128,0.0,0.001,0.8766666650772095,4.817367792129517
1,1,128,0.0,0.0005,0.871666669845581,4.79862117767334
2,1,128,0.0,0.0005,0.8696666955947876,4.802782297134399
3,1,128,0.0,0.0005,0.8738333582878113,4.809242010116577
4,1,128,0.0,0.0005,0.8696666955947876,4.968389987945557
5,1,128,0.0,0.0005,0.8700000047683716,4.873020172119141
1,1,128,0.2,1.0,0.10916666686534882,5.363639831542969
2,1,128,0.2,1.0,0.12183333188295364,5.3094141483306885
3,1,128,0.2,1.0,0.10916666686534882,5.251342535018921
4,1,128,0.2,1.0,0.10383333265781403,5.353339195251465
5,1,128,0.2,1.0,0.10916666686534882,5.362651109695435
1,1,128,0.2,0.1,0.75,5.318708181381226
2,1,128,0.2,0.1,0.7316666841506958,5.464433193206787
3,1,128,0.2,0.1,0.6863333582878113,5.350463390350342
4,1,128,0.2,0.1,0.8330000042915344,5.345221042633057
5,1,128,0.2,0.1,0.8108333349227905,5.391783237457275
1,1,128,0.2,0.01,0.8811666369438171,5.472621917724609
2,1,128,0.2,0.01,0.8840000033378601,5.3556013107299805
3,1,128,0.2,0.01,0.8830000162124634,5.383176565170288
