hidden_layers,nodes,dropout,lr,val_accuracy
1,128,0.0,0.001,0.8803333044052124
1,128,0.0,0.0005,0.8706666827201843
1,128,0.2,0.001,0.8786666393280029
1,128,0.2,0.0005,0.8715000152587891
1,128,0.4,0.001,0.8758333325386047
1,128,0.4,0.0005,0.8675000071525574
1,256,0.0,0.001,0.8865000009536743
1,256,0.0,0.0005,0.875
1,256,0.2,0.001,0.8863333463668823
1,256,0.2,0.0005,0.8798333406448364
1,256,0.4,0.001,0.8870000243186951
1,256,0.4,0.0005,0.8763333559036255
2,128,0.0,0.001,0.8889999985694885
2,128,0.0,0.0005,0.8809999823570251
2,128,0.2,0.001,0.887499988079071
2,128,0.2,0.0005,0.8756666779518127
2,128,0.4,0.001,0.8786666393280029
2,128,0.4,0.0005,0.8668333292007446
2,256,0.0,0.001,0.8911666870117188
2,256,0.0,0.0005,0.8878333568572998
2,256,0.2,0.001,0.89083331823349
2,256,0.2,0.0005,0.8884999752044678
2,256,0.4,0.001,0.887499988079071
2,256,0.4,0.0005,0.8836666941642761
3,128,0.0,0.001,0.8886666893959045
3,128,0.0,0.0005,0.8848333358764648
3,128,0.2,0.001,0.8851666450500488
3,128,0.2,0.0005,0.8806666731834412
3,128,0.4,0.001,0.8741666674613953
3,128,0.4,0.0005,0.8675000071525574
3,256,0.0,0.001,0.89083331823349
3,256,0.0,0.0005,0.890999972820282
3,256,0.2,0.001,0.893666684627533
3,256,0.2,0.0005,0.8883333206176758
3,256,0.4,0.001,0.8821666836738586
3,256,0.4,0.0005,0.8798333406448364
